code,product_name,brands,generic_name,categories_tags,ingredients_text,silver,gpt4omini,gptoss,llama3b,status,enum_choices,your_arbitrage,note,auto_arbitrage,auto_reason
0012700155218,Garden Style Twirls,Skinner,skinner tri color Rotini Pasta,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas","SEMOLINA (WHEAT), DURUM FLOUR (WHEAT), DRIED SULFATE (IRON), THIAMIN TOMATO, DRIED SPINACH, NIACIN, FERROUS S MONONITRATE, RIBOFLAVIN, FOLIC ACID. Contains: Wheat. Manufactured in a facility that uses eggs.",,other,fusilli,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
0068400014294,Chicken Noodle,Lipton,Chicken Noodles - Mélange à Soupe Poulet et Nouilles,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:meals,en:dried-products,en:pastas,en:dried-products-to-be-rehydrated,en:noodles,en:soups,en:dried-meals,en:instant-noodles,en:dehydrated-soups","wheat noodles , salt, dry extracts of corn syrup, soy protein hydrolyséee, fat chicken, corn starch, palm oil, modified, monosodium glutamate, onion powder, cooked chicken mechanically separated and dehydrated, spice, natural flavor, guanylate disodium, inosinate disodium salt, yeast extract, persil...",noodles,noodles,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",noodles,,noodles,kw:noodles
0087303857272,Egg Noodles,Sautao,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:noodles,en:egg-pastas,en:egg-noodles","_Wheat_ flour, _egg_ white, acidity regulator (E501, E500), corn starch, water.",noodles,noodles,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",noodles,,noodles,kw:noodles
20526825,Tallarín,Combino,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas",Sémola de trigo duro. Puede contener trazas de huevo.,,,noodles,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",tagliatelle,,tagliatelle,kw:tagliatelle
20686147,Tortelloni rellenos garbanzos y jengibre,Chef Select,Tortelloni ecológicos. Pasta alimenticia fresca rellena de garbanzos y jengibre,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:meals,en:pasta-dishes,en:pastas,en:cereal-pastas,en:stuffed-pastas,en:dry-pastas,en:durum-wheat-pasta,en:fresh-pasta,en:dry-durum-wheat-pasta,en:tortelloni","55% masa: sémola de _trigo_ duro*, agua, _gluten de trigo_,*. 45% relleno: copos rehidratados de patata* (agua, copos de patata* [patata*, aromas naturales]), 22% garbanzos*, cuscús a base de sémola de _trigo_ duro*, arroz inflado*, semillas de _sésamo_*, grasas vegetales* (aceite de girasol*, mante...",,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:filled-pasta-no-class
26019475,Farfalles,Pasta Mare,Pätes alimentaires de qualité supérieure,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,fr:farfalles,es:farfalle-de-trigo-duro",semoule de _blé dur_ de qualité supérieure,,farfalle,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",farfalle,,farfalle,kw:farfalle
3019896880150,FETTUCCINE Petrossian,Petrossian,FETTUCCINE Petrossian,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:dry-pastas,en:egg-pastas,en:dry-egg-pastas","SEMOULE DE BLÉ DUR, ŒUFS FRAIS (33,4) PEUT CONTENIR DES TRACES DE SOJA. PAYS DE LA CULTURE DU BLÉ : ITALIE - PAYS DE MOUTURE : ITALIE",,tagliatelle,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",tagliatelle,,tagliatelle,kw:tagliatelle
3038350010209,pâte alphabet,Panzani,Pâtes alimentaires de qualité supérieure,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,en:alphabet-pasta,en:dry-durum-wheat-pasta",100% Semoule de _BLE_ dur de qualité supérieure,,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",,,,unmatched
3052420300007,Spaetzle aux Œufs Frais prêt à poêler,"Schneider, Schneider Traiteur",Spaetzle aux Œufs Frais,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:egg-pastas,en:fresh-pasta,en:fresh-egg-pasta,en:spatzle,fr:spaetzle,fr:spaetzle-aux-oeufs","Farine de _blé_ (France), _œufs_ frais pasteurisés (France) 30 %, eau, huile de tournesol, sel, acidifiant : acide citrique.",,other,noodles,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:spaetzle
3180950015747,Spaetzle à poêler 300g + 30%,Stoeffler,pâtes fraîches à poêler,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas","Farine de blé*, œufs* (30%), eau, sel*, huile végétale de colza*. Contient du lait. Peut contenir de la moutarde et des fruits à coque. * Origine FRANCE.",,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",other,,other,kw:spaetzle
3229820765372,Nouilles japonaises saveur boeuf teppanyaki,Tanoshi,Préparation céréalière instantanée à base de farine de blé et préparation pour assaisonnement saveur boeuf.,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:meals,en:cereals-and-their-products,en:dried-products,en:pastas,en:dried-products-to-be-rehydrated,en:meals-with-meat,en:noodles,en:beef-dishes,en:instant-noodles,en:chinese-noodles,en:instant-noodle-soups,en:microwave-meals","Nouilles 58g (farine de _blé_ 68%, huile de tournesol, carbonates de sodium, carbonates de potassium). Assaisonnement saveur bœuf teppanyaki 7g (sel, arômes, sucre, carottes 1%, sauce _soja_ (fèves de soja, _blé_, maltodextrine de maïs, sel), extrait de levure, oignons, sucre caramélisé, oignons ver...",noodles,noodles,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",noodles,,noodles,kw:noodles
3248832967277,Coquillettes au Jambon et au Fromage,Marie,"Coquillettes au jambon cuit supérieur fumé, sauce à la crème et à l'emmental","en:plant-based-foods-and-beverages,en:plant-based-foods,en:meats-and-their-products,en:meals,en:fresh-foods,en:pasta-dishes,en:pastas,en:meals-with-meat,en:fresh-meals,en:pork-meals,en:microwave-meals,fr:coquillettes,fr:coquillettes-jambon-fromage","Coquillettes cuites 57,8% (eau, semoule de _blé_ dur, huile de colza), eau, jambon cuit supérieur fumé 11,8% (jambon de porc origine France, sel, arômes naturels (polyphénols), antioxydant : acide ascorbique), _emmental_ 7,1%, _crème_ fraîche 5,8%, huile de colza, farine de _blé_, sel, poivre, curcu...",,other,macaroni,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",macaroni,,macaroni,kw:macaroni
3250391781652,Coquillettes bio,Fiorini,Coquillettes BIO,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,fr:coquillettes,fr:coquillettes-de-ble-dur,fr:autres-produits",Semoule de _blé_ dur de qualité supérieure issu de l'agriculture biologique.,,,macaroni,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",macaroni,,macaroni,kw:macaroni
3250391967858,Torsades semi-completes bio,Fiorini,Torsades completes,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,af:fusilli,fr:autres-produits,fr:pates-seches-semi-completes,fr:torsades-semi-completes",Semoule de _blé_ dur semi-complète issu de l'agriculture biologique.,,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
3252970012096,Les Végétales - Torsades,Alpina,spécialité au blé dur et aux pois chiches,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas","Semoule de blé dur de qualité supérieure (66%), farine de pois chiches (34%).",,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
3270190156215,Torsades semi-complètes Bio,"Carrefour BIO,Groupe Carrefour",Pâtes alimentaires au blé dur semi-complet issu de l'agriculture biologique,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,en:spirals-of-durum-wheat",Semoule semi complète de blé dur biologique.,,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",fusilli,,fusilli,kw:fusilli
3380380083617,Primeal Organic Rubanelle Pasta 40Og,PRIMÉAL,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:dry-pastas",Frensh half durum wheat semolina May contain traces of egg.,,,other,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",,,,unmatched
4000398254142,Bandnudeln,Dorfmühle,Frischeier-Nudeln,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:noodles,en:dry-pastas,en:durum-wheat-pasta,en:durum-wheat-pasta-with-egg","_Hartweizengrieß_, _Frischeier_ (10%)",noodles,other,,spaghetti,no_majority,"spaghetti, penne, fusilli, macaroni, farfalle, tagliatelle, lasagna, noodles, rigatoni, vermicelli, linguine, other",tagliatelle,,tagliatelle,kw:tagliatelle
