code,product_name,brands,ingredients_text,quantity,lang,source,silver_grain_type,manual_grain_type,manual_grain_type_status,manual_grain_type_at,manual_grain_type_mode,manual_grain_type_note,silver_is_filled,manual_is_filled,manual_is_filled_status,manual_is_filled_at,manual_is_filled_mode,manual_is_filled_note,silver_is_organic,manual_is_organic,manual_is_organic_status,manual_is_organic_at,manual_is_organic_mode,manual_is_organic_note,silver_is_gluten_free,manual_is_gluten_free,manual_is_gluten_free_status,manual_is_gluten_free_at,manual_is_gluten_free_mode,manual_is_gluten_free_note,silver_pasta_shape,manual_pasta_shape,manual_pasta_shape_status,manual_pasta_shape_at,manual_pasta_shape_mode,manual_pasta_shape_note,silver_is_vegan,manual_is_vegan,manual_is_vegan_status,manual_is_vegan_at,manual_is_vegan_mode,manual_is_vegan_note,silver_nutri_score_grade,manual_nutri_score_grade,manual_nutri_score_grade_status,manual_nutri_score_grade_at,manual_nutri_score_grade_mode,manual_nutri_score_grade_note,silver_protein_class,manual_protein_class,manual_protein_class_status,manual_protein_class_at,manual_protein_class_mode,manual_protein_class_note
8001665704106,RAVIOLI CON POLLO ASADO RANA 250,Giovanni Rana,"Relleno 60% (requesón (suero de _leche_, _leche_, sal), pechuga de pollo 23%, _queso_ mozzarella, fibras vegetales (maíz, patata), _queso_ rallado, pan rallado (harina de _trigo_ blando, agua, sal, levadura), nata (_leche_), aceite de girasol, suero de _leche_ en polvo, aromas naturales (_leche_, _trigo_), almidones, sal, _leche_ desnatada en polvo, _lactosa_, romero 0.2%, dextrosa), pasta 40% (harina de _trigo_ blando, _huevos 30%, sémola de _trigo_ duro).",250 g,,brand_disjoint_test,wheat,wheat,confirmed,2026-05-15T02:23:30+00:00,blind,,True,True,confirmed,2026-05-15T02:23:30+00:00,blind,,False,False,confirmed,2026-05-15T02:23:30+00:00,blind,,False,False,confirmed,2026-05-15T02:23:30+00:00,blind,,other,other,confirmed,2026-05-15T02:23:30+00:00,blind,,False,False,confirmed,2026-05-15T02:23:30+00:00,blind,,D,D,confirmed,2026-05-15T02:23:30+00:00,blind,,med,med,confirmed,2026-05-15T02:23:30+00:00,blind,
8001665713221,"Tortellini Pesto Rosso, Tomates Séchées & Pignons",Giovanni Rana,"Farce 53% : pesto de tomates 44% (tomates en morceaux 38%, huile d'olive extra vierge, fromage au _lait_ de brebis 11%, _noix de cajou_, basilic, tomates séchées 4%, pignons de pin 3.4%, huile de tournesol, ail, sel), ricotta (sérum de _lait_, _lait_, sel), fibres végétales (maïs et pommes de terre), chapelure (farine de _blé_ tendre, eau, sel, levure), concentré de tomates 7%, sérum de _lait_ en poudre, _fromage_ mozzarella, _lactose_, amidons, sel, arômes naturels (contiennent _lait_, _blé_). Pâte 47% : farine de _blé_ tendre, _œufs_ 30%, semoule de _blé_ dur.",250 g,,brand_disjoint_test,wheat,wheat,confirmed,2026-05-15T02:02:11+00:00,blind,,True,True,confirmed,2026-05-15T02:02:11+00:00,blind,,False,False,confirmed,2026-05-15T02:02:11+00:00,blind,,False,False,confirmed,2026-05-15T02:02:11+00:00,blind,,other,other,confirmed,2026-05-15T02:02:11+00:00,blind,,False,False,confirmed,2026-05-15T02:02:11+00:00,blind,,B,B,confirmed,2026-05-15T02:02:11+00:00,blind,,med,med,confirmed,2026-05-15T02:02:11+00:00,blind,
8006669002258,Mezzelune con legumbres,Scoiattolo,"sémola de _trigo_ duro*, garbanzos* (32% del relleno, 17% del producto final), lentejas* (16% del relleno, 9% del producto final), aceite de girasol*, pulpa de tomate*, pan rallado* (harina de _trigo_ blando*, sal, levadura de cerveza), copos de patata*, cebolla*, harina de trigo sarraceno* (5% de la pasta, 2% del producto final), sal, fibra vegetal*, romero*, agua.",250 g,,brand_disjoint_test,wheat,wheat,confirmed,2026-05-15T02:02:57+00:00,blind,,True,True,confirmed,2026-05-15T02:02:57+00:00,blind,,True,True,confirmed,2026-05-15T02:02:57+00:00,blind,,False,False,confirmed,2026-05-15T02:02:57+00:00,blind,,other,other,confirmed,2026-05-15T02:02:57+00:00,blind,,True,True,confirmed,2026-05-15T02:02:57+00:00,blind,,B,B,confirmed,2026-05-15T02:02:57+00:00,blind,,med,med,confirmed,2026-05-15T02:02:57+00:00,blind,
6130837000370,Tlitli,Amor Benamor,"durum wheat semolina of superior quality,",500 g,,brand_disjoint_test,wheat,wheat,confirmed,2026-05-15T02:08:59+00:00,blind,,False,False,confirmed,2026-05-15T02:08:59+00:00,blind,,False,False,confirmed,2026-05-15T02:08:59+00:00,blind,,False,False,confirmed,2026-05-15T02:08:59+00:00,blind,,,other,manual_only,2026-05-15T02:08:59+00:00,blind,,,True,manual_only,2026-05-15T02:08:59+00:00,blind,,A,A,confirmed,2026-05-15T02:08:59+00:00,blind,,med,med,confirmed,2026-05-15T02:08:59+00:00,blind,
7790070320841,Tirabuzón Integral,Matarazzo,Semola de trigo candeal integral.,500 g,,brand_disjoint_test,wheat,wheat,confirmed,2026-05-15T02:11:00+00:00,blind,,False,False,confirmed,2026-05-15T02:11:00+00:00,blind,,False,False,confirmed,2026-05-15T02:11:00+00:00,blind,,False,False,confirmed,2026-05-15T02:11:00+00:00,blind,,vermicelli,fusilli,override,2026-05-15T02:11:00+00:00,blind,,True,False,override,2026-05-15T02:11:00+00:00,blind,,,,empty,2026-05-15T10:39:12+00:00,llm,,med,med,confirmed,2026-05-15T02:11:00+00:00,blind,
4316734068886,Mie noddles,Diamond,"_Weizen_mehl, Wasser, Gemüsepulver 3,9% (Pastinake, Knollen_sellerie_, Weißkohl, Broccoli, Karotte), Spinatpulver 1,5%, Salz, Kaliumcarbonate, Natriumcarbonate, Xanthan, Polyphosphate",250g,,brand_disjoint_test,,wheat,manual_only,2026-05-15T02:13:06+00:00,blind,,False,False,confirmed,2026-05-15T02:13:06+00:00,blind,,False,False,confirmed,2026-05-15T02:13:06+00:00,blind,,False,False,confirmed,2026-05-15T02:13:06+00:00,blind,,noodles,noodles,confirmed,2026-05-15T02:13:06+00:00,blind,,,False,manual_only,2026-05-15T02:13:06+00:00,blind,,,,empty,2026-05-15T10:39:12+00:00,llm,,med,med,confirmed,2026-05-15T02:13:06+00:00,blind,
4001163134218,Kartoffel-Gnocchi,HENGLEIN,"Speisekartoffeln 68%, _Weizenmehl_, Kartoffelstärke, _Vollei_, Speisesalz, Rapsöl, Verdickungsmittel: Guarkernmehl; Säuerungsmittel (Citronensäure, Ascorbinsäure); Gewürzextrakte (enthalten _Sellerie_)",250g,,brand_disjoint_test,,other,manual_only,2026-05-15T02:15:14+00:00,blind,,False,False,confirmed,2026-05-15T02:15:14+00:00,blind,,False,False,confirmed,2026-05-15T02:15:14+00:00,blind,,False,False,confirmed,2026-05-15T02:15:14+00:00,blind,,noodles,other,unsure,2026-05-15T02:15:14+00:00,blind,,False,False,confirmed,2026-05-15T02:15:14+00:00,blind,,A,A,confirmed,2026-05-15T02:15:14+00:00,blind,,low,low,confirmed,2026-05-15T02:15:14+00:00,blind,
9003740067655,clever Penne,clever,"Hartweizengrieß, Wasser",1kg,,brand_disjoint_test,wheat,wheat,confirmed,2026-05-15T02:16:44+00:00,blind,,False,False,confirmed,2026-05-15T02:16:44+00:00,blind,,False,False,confirmed,2026-05-15T02:16:44+00:00,blind,,False,False,confirmed,2026-05-15T02:16:44+00:00,blind,,penne,penne,confirmed,2026-05-15T02:16:44+00:00,blind,,True,True,confirmed,2026-05-15T02:16:44+00:00,blind,,B,B,confirmed,2026-05-15T02:16:44+00:00,blind,,med,med,confirmed,2026-05-15T02:16:44+00:00,blind,
3266140061555,Ravioli au Boursin Ail & fines herbes sachet,Saint jean,"Pâte 50%: Semoule de BLE dur de qualité supérieure 36%, eau, OEUFS frais issus de poules élevées en plein air 5% (140 g par Kg semoule). Farce 50% : FROMAGE *BOURSIN ® ail et fines herbes 18% (LAIT et CREME pasteurisés, ferments lactiques, ail et fines herbes (0,3%), sel, poivre), FROMAGE frais, RICOTTA, chapelure (BLE), flocon de pomme de terre ( pommes de terre déshydratées, extrait de curcuma), eau, fibre de blé, sel. (Pourcentages exprimés sur l'ensemble du produit) *Boursin® est une marque de la société Fromageries Bel",250 g,,brand_disjoint_test,wheat,wheat,confirmed,2026-05-15T02:24:48+00:00,blind,,True,True,confirmed,2026-05-15T02:24:48+00:00,blind,,False,False,confirmed,2026-05-15T02:24:48+00:00,blind,,False,False,confirmed,2026-05-15T02:24:48+00:00,blind,,other,other,confirmed,2026-05-15T02:24:48+00:00,blind,,False,False,confirmed,2026-05-15T02:24:48+00:00,blind,,D,D,confirmed,2026-05-15T02:24:48+00:00,blind,,med,med,confirmed,2026-05-15T02:24:48+00:00,blind,
20045371,Instant noodles curry flavour,Newgate,"93% fideos (harina de trigo, aceite de palma (aceite de palma, antioxidante; extracto rico en tocoferoles), agua, sal), 7% mezcla de especias con sabor a curry (harina de trigo, sal, maltodextrina, azúcar, curry en polvo (cúrcuma, comino, nuez moscada, clavo, anís estrellado, chile, hinojo, tomillo, sal), extracto de levadura, comino molido, cúrcuma molida, cebolla en polvo, ajo en polvo, aceite de palma, colorante: extracto de pimentón).",108 g,,brand_disjoint_test,wheat,wheat,confirmed,2026-05-15T02:25:27+00:00,blind,,False,False,confirmed,2026-05-15T02:25:27+00:00,blind,,False,False,confirmed,2026-05-15T02:25:27+00:00,blind,,False,False,confirmed,2026-05-15T02:25:27+00:00,blind,,noodles,noodles,confirmed,2026-05-15T02:25:27+00:00,blind,,True,True,confirmed,2026-05-15T02:25:27+00:00,blind,,C,C,confirmed,2026-05-15T02:25:27+00:00,blind,,low,low,confirmed,2026-05-15T02:25:27+00:00,blind,
