category,code,attr,product_name,brands,ingredients_text,silver,sonnet45,gpt4o,gemini25flash,your_arbitrage
pasta,8001250013859,grain_type,Gnocchi di Papate Fresche Senza Glutine,De Cecco,"purea di patate 75% (patate fresche 27% sul totale, acqua, fecola di patate 13,5% sul totale, fiocchi di patate 8% sul totale), farina di mais, amido di mais, farina di riso, sale, correttore di acidità (acido lattico), conservante (sorbato di potassio).",,other,mixed,corn,
pasta,0060383691424,pasta_shape,Organic Rotini,"President's Choice,Le choix du président",Organic durum wheat semolina.,,fusilli,other,,
pasta,0010248765159,pasta_shape,Fideo mediano,Yemina,"Sémola de trigo duro, sulfato ferroso, nicotinamida (niociña), mononitrato de tiamina (vitamina B1), riboflavina (vitamina B2) y ácido fólico.",,vermicelli,noodles,other,
pasta,20526825,pasta_shape,Tallarín,Combino,Sémola de trigo duro. Puede contener trazas de huevo.,,tagliatelle,other,noodles,
pasta,4000398255101,pasta_shape,LIDL Dorfmühle Oberschwäbische Land-Nudeln Dinkel 500g 1.99€ 1kg 3.98€,"Buck Nudelspezialitäten, Dorfmühle, LIDL Dorfmühle","Dinkelmehl, Dinkelgrieß (Weizenart)",noodles,,noodles,other,
pasta,8076800195019,pasta_shape,Capellini Nr. 1,Barilla,"Semola di grano duro, acqua.",spaghetti,other,vermicelli,spaghetti,
pasta,8053904630707,pasta_shape,Konnyaku mai,AsiaTica,"Acqua, farina di konjac 4.4 %, regolatore di acidità (E526)",,noodles,,other,
chocolate,3173281152205,chocolate_type,Chocolat Cacao 40% Pur beurre de cacao,Astoria,"Sucre, pâte de cacao, beurre de cacao, émulsifiants : lécithines de tournesol et polyricinoléate de polyglycérol, arôme vanille.",dark,milk,dark,other,
chocolate,3245678046517,chocolate_type,Praliné 50% Dessert,Auchan,"Praliné 50% (pâte de noisettes 25% origine Turquie, sucre), sucre, beurre de cacao, lait écrémé en poudre, pâte de cacao* (origine Côte d'Ivoire), lait entier en poudreTraces éventuelles d'autres fruits à coque et de céréales contenant du gluten. Pourcentages exprimés sur le total de la recette. Ela",filled,milk,other,filled,
chocolate,7613036410182,chocolate_type,After Eight Bites,"Nestlé, After Eight","Sugar, Cocoa Mass, Glucose Syrup, Cocoa Butter, Vegetable Fat (Palm, Shea, Sal, Illipe, Kokum gurgi, Mango kernel), Cocoa butter, Butterfat (Milk), Emulsifier (Sunflower lecithin), Natural peppermint oil, Citric acid, Stabiliser (Invertase).",dark,filled,dark,other,
chocolate,4260334140001,chocolate_type,Vegó Fairtrade Whole Hazelnut Chocolate Bar,vego,"cane sugar, whole hazelnuts (20%), cocoa mass, hazelnut paste, cocoa butter, emulsifier: soy lecithins, vanilla extract, certified organic/allergen information: may contain traces of other nuts and milk,",,dark,other,,
beverages,5060517880613,beverage_type,Monster Punch MIXXD,"Monster, Monster Energy, Monster Energy Company","KOLSYRAT VATTEN, SUKROS, FRUKT JUICE FRÅN KONCENTRAT (5,3%) (ÄPPLE, KÖRSBÄR, TRANBÄR, MANGO, BANAN), GLUKOSSIRAP, TAURIN (0,4%) SYRA (CITRONSYRA), SURHETSREGLERANDE MEDEL (NATRIUMCITRAT), AROMER, FÖRTJOCKNINGSMEDEL (PEKTINER), KONSERVERINGSMEDEL (KALIUMSORBAT, NATRIUMBENSOAT), KOFFEIN (0,03%), SÖTNI",sport,sport,juice,soda,
beverages,5060517887858,beverage_type,Punch Monster Pipeline Punch,"Monster, Monster Energy, Monster Energy Company, Monster Energy Limited","KOLSYRAT VATTEN, FRUKT JUICE FRÅN KONCENTRAT (16,2%) (ÄPPLE, APELSIN, GUAVA, ANANAS, PASSIONSFRUKT), SUKROS, GLUKOSSIRAP,  TAURIN (0,4%), SYRA (CITRONSYRA), AROMER, SURHETSREGLERANDE MEDEL (NATRIUMCITRAT), KONSERVERINGSMEDEL (KALIUMSORBAT, NATRIUMBENSOAT), KOFFEIN (0,03%), SÖTNINGSMEDEL (SUKRALOS), ",sport,sport,juice,soda,
beverages,5060166694777,beverage_type,Monster energy,"Monster, Monster Energy, Monster Energy Company","KOLSYRAT VATTEN, SUKROS, GLUKOSSIRAP, SYRA (CITRONSYRA), NATURLIGA SMAKÄMNEN, TAURIN (0,4%), SURHETSREGLERANDE MEDEL (NATRIUMCITRAT), PANAX GINSENG ROTEXTRAKT (0,08%), L-KARNITIN L-TARTRAT (0,04%), KOFFEIN (0,03%), KONSERVERINGSMEDEL (SORBINSYRA, BENSOESYRA), FÄRGÄMNE (ANTOCYANINER), VITAMINER (RIBO",sport,other,soda,sport,
cheeses,5760466848510,milk_source,Buko - Typ India,"Arla, Buko","_Frischkäse_, kandierte Papaya 5,7% (Papaya 4,0%, Zucker), Speisesalz, Schwarzkümmelsamen, Gewürze, Kräuter, Chilipulver, Kurkuma.",,cow,other,,
cheeses,3250391819256,texture,Sainte maure familiale 300g,"Intermarché,Pâturages","_Lait_ pasteurisé de chèvre, sel, ferments lactiques (dont _lait_) et d'affinage, coagulant.",,soft,,fresh,
cheeses,3329770062252,texture,Calin extra 0%,Yoplait,"Lait écrémé déshydraté , Lait écrémé , Concentré des minéraux du lait , Ferments lactiques (lait) , Vitamine D.",,fresh,processed,other,
cheeses,3090291123943,texture,FOL EPI 16 tranches,"Fol épi,Fromageries Perreault,Savencia","Lait (origine France), sel, ferments, colorants de croûte : caramel ordinaire, bêta-carotène.",,hard,processed,other,
cheeses,3485932750006,texture,La Belle du bocage,"Chavegrand, La Belle Du Bocage","Lait de chèvre pasteurisé (origine UE), sel, ferments (contient lait), coagulant.",,soft,,fresh,
cheeses,00864909,texture,British Natural Goat's Cheese,Marks & Spencer,tural goat's cheese (contain goat's milk),,fresh,,other,
cheeses,4056489125945,texture,Manouri Cheese,"Eridanous, Lidl",Full fat cheese made with sheep's and goats' _milk_.,fresh,soft,,fresh,
cheeses,3176582016269,texture,Raclette,Riches monts,"pasteurized cow's milk, salt, ferments,",,hard,,other,
cheeses,20881054,texture,Skyr Icelandic Style Strawberry,Pilos,"Cream cheese preparation with 20% strawberry preparation with sweeteners, low-fat milk content. Ingredients: Skimmed milk, water, 7% strawberry, modified starch, lemon juice concentrate, natural flavor (contains milk), thickeners: pectins, xanthan gum; coloring carrot concentrate, sweeteners: aspart",cream,fresh,processed,cream,
cheeses,5060133150763,texture,Strong cheese Cryf,Caws Cenarth,"Pasteurised Cows Milk, Vegetarian rennet, Bacterial cultures, Salt",,other,,hard,
cheeses,4388860276916,texture,LEERDAMER LÉGER MILD-NUSSIG,LEERDAMER,"Holländischer Schnittkäse, * *42% weniger Fett als Leerdammer Original, von Natur aus laktosefrei (Laktosegehalt &lt;0,1g/100g)",hard,other,processed,hard,
